year,age,sex,maritl,race,education,wage
2007,26,1. Male,2. Married,1. White,3. Some College,93.48669204
2005,53,1. Male,2. Married,2. Black,2. HS Grad,70.47601965
2004,46,1. Male,4. Divorced,1. White,4. College Grad,99.6894637
2007,42,1. Male,2. Married,1. White,3. Some College,98.59934386
2006,28,1. Male,1. Never Married,2. Black,3. Some College,54.59815003
2004,30,1. Male,1. Never Married,1. White,1. < HS Grad,86.69515483
2008,34,1. Male,2. Married,3. Asian,4. College Grad,118.8843593
2008,46,1. Male,2. Married,1. White,4. College Grad,160.6424754
2007,22,1. Male,1. Never Married,1. White,3. Some College,59.09706408
2007,37,1. Male,1. Never Married,1. White,2. HS Grad,92.72952791
2008,27,1. Male,2. Married,1. White,3. Some College,63.188861
2008,52,1. Male,2. Married,1. White,2. HS Grad,114.4757133
2008,43,1. Male,2. Married,1. White,2. HS Grad,65.11085372
2004,52,1. Male,2. Married,1. White,2. HS Grad,148.4131591
2005,54,1. Male,1. Never Married,2. Black,3. Some College,109.4898415
2007,47,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2005,21,1. Male,1. Never Married,2. Black,3. Some College,105.9278108
2005,42,1. Male,2. Married,1. White,4. College Grad,134.7053751
2003,72,1. Male,2. Married,1. White,5. Advanced Degree,189.2441629
2003,38,1. Male,2. Married,3. Asian,2. HS Grad,104.9215065
2009,53,1. Male,2. Married,1. White,2. HS Grad,82.6796373
2006,35,1. Male,5. Separated,1. White,3. Some College,81.28325328
2008,60,1. Male,2. Married,1. White,2. HS Grad,76.89360252
2003,39,1. Male,2. Married,1. White,2. HS Grad,85.38394038
2005,45,1. Male,4. Divorced,2. Black,2. HS Grad,73.77574327
2008,61,1. Male,2. Married,1. White,2. HS Grad,106.6080215
2008,64,1. Male,4. Divorced,1. White,2. HS Grad,95.23071257
2004,39,1. Male,2. Married,3. Asian,1. < HS Grad,70.47601965
2007,46,1. Male,2. Married,2. Black,3. Some College,105.9278108
2008,25,1. Male,1. Never Married,2. Black,3. Some College,56.45386498
2003,80,1. Male,2. Married,1. White,3. Some College,94.07271475
2008,51,1. Male,4. Divorced,1. White,3. Some College,105.9278108
2004,58,1. Male,2. Married,1. White,2. HS Grad,75.04315402
2009,52,1. Male,2. Married,1. White,3. Some College,118.8843593
2004,45,1. Male,2. Married,1. White,5. Advanced Degree,138.2991269
2007,41,1. Male,1. Never Married,1. White,3. Some College,99.6894637
2004,42,1. Male,2. Married,1. White,2. HS Grad,95.23071257
2008,31,1. Male,1. Never Married,1. White,3. Some College,94.07271475
2004,49,1. Male,4. Divorced,1. White,2. HS Grad,123.0896998
2009,47,1. Male,4. Divorced,1. White,2. HS Grad,90.48191336
2005,39,1. Male,2. Married,1. White,2. HS Grad,87.98103279
2006,53,1. Male,2. Married,1. White,4. College Grad,109.8339856
2003,37,1. Male,2. Married,1. White,2. HS Grad,85.38394038
2003,52,1. Male,2. Married,1. White,4. College Grad,191.5736835
2006,41,1. Male,2. Married,1. White,2. HS Grad,101.8243521
2006,39,1. Male,2. Married,3. Asian,4. College Grad,148.4131591
2009,63,1. Male,2. Married,1. White,5. Advanced Degree,171.7651326
2007,23,1. Male,1. Never Married,1. White,2. HS Grad,73.45442826
2004,62,1. Male,2. Married,2. Black,2. HS Grad,87.98103279
2004,43,1. Male,2. Married,1. White,5. Advanced Degree,272.2947832
2004,29,1. Male,1. Never Married,2. Black,2. HS Grad,102.8702469
2004,43,1. Male,2. Married,3. Asian,5. Advanced Degree,160.6424754
2008,34,1. Male,2. Married,2. Black,4. College Grad,123.0896998
2003,38,1. Male,2. Married,3. Asian,5. Advanced Degree,91.69922611
2005,25,1. Male,1. Never Married,1. White,4. College Grad,85.38394038
2005,64,1. Male,2. Married,2. Black,2. HS Grad,109.8339856
2003,49,1. Male,2. Married,1. White,4. College Grad,114.4757133
2009,46,1. Male,2. Married,1. White,4. College Grad,84.31576886
2006,30,1. Male,2. Married,1. White,5. Advanced Degree,114.4757133
2003,33,1. Male,1. Never Married,1. White,3. Some College,57.35259108
2007,29,1. Male,2. Married,1. White,4. College Grad,104.9215065
2008,32,1. Male,2. Married,1. White,2. HS Grad,125.5254984
2007,54,1. Male,2. Married,1. White,2. HS Grad,108.8745258
2005,40,1. Male,1. Never Married,2. Black,2. HS Grad,65.11085372
2005,24,1. Male,1. Never Married,1. White,4. College Grad,109.8339856
2008,30,1. Male,5. Separated,1. White,1. < HS Grad,70.81503862
2009,49,1. Male,2. Married,1. White,4. College Grad,145.1436012
2006,47,1. Male,2. Married,4. Other,2. HS Grad,101.8243521
2008,25,1. Male,1. Never Married,2. Black,2. HS Grad,84.04595765
2007,44,1. Male,2. Married,1. White,3. Some College,134.7053751
2007,41,1. Male,4. Divorced,1. White,1. < HS Grad,97.49329405
2005,54,1. Male,5. Separated,1. White,4. College Grad,154.685293
2009,59,1. Male,2. Married,1. White,5. Advanced Degree,200.5432623
2003,25,1. Male,1. Never Married,1. White,2. HS Grad,59.73422334
2009,63,1. Male,2. Married,2. Black,5. Advanced Degree,91.69922611
2009,49,1. Male,1. Never Married,1. White,3. Some College,109.8339856
2008,35,1. Male,5. Separated,2. Black,3. Some College,114.4757133
2006,24,1. Male,1. Never Married,3. Asian,2. HS Grad,66.22940829
2003,66,1. Male,2. Married,1. White,2. HS Grad,92.89584479
2008,57,1. Male,2. Married,4. Other,1. < HS Grad,94.07271475
2003,47,1. Male,2. Married,1. White,4. College Grad,118.8843593
2006,44,1. Male,2. Married,1. White,4. College Grad,132.4878211
2006,56,1. Male,2. Married,1. White,4. College Grad,127.1157438
2004,34,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2006,23,1. Male,2. Married,1. White,1. < HS Grad,40.40566526
2008,30,1. Male,2. Married,1. White,4. College Grad,138.2991269
2004,38,1. Male,2. Married,1. White,3. Some College,102.8702469
2004,43,1. Male,2. Married,2. Black,1. < HS Grad,79.85490031
2007,58,1. Male,4. Divorced,1. White,3. Some College,111.7208494
2005,36,1. Male,2. Married,1. White,2. HS Grad,62.19867943
2007,48,1. Male,1. Never Married,1. White,2. HS Grad,70.47601965
2005,35,1. Male,2. Married,1. White,2. HS Grad,86.04280113
2006,22,1. Male,1. Never Married,1. White,2. HS Grad,99.6894637
2007,50,1. Male,2. Married,1. White,4. College Grad,113.5670896
2004,58,1. Male,2. Married,1. White,1. < HS Grad,100.7642728
2003,20,1. Male,1. Never Married,1. White,2. HS Grad,61.18752643
2007,44,1. Male,2. Married,1. White,2. HS Grad,113.6127457
2003,50,1. Male,2. Married,3. Asian,4. College Grad,134.7053751
2009,55,1. Male,2. Married,1. White,2. HS Grad,104.9235317
2003,39,1. Male,1. Never Married,1. White,2. HS Grad,109.8339856
2008,32,1. Male,1. Never Married,1. White,4. College Grad,276.7784133
2008,50,1. Male,2. Married,1. White,4. College Grad,148.4131591
2009,24,1. Male,2. Married,1. White,1. < HS Grad,148.4131591
2009,53,1. Male,2. Married,1. White,3. Some College,109.8339856
2003,35,1. Male,2. Married,1. White,2. HS Grad,81.28325328
2003,25,1. Male,1. Never Married,1. White,1. < HS Grad,79.85490031
2006,24,1. Male,1. Never Married,3. Asian,4. College Grad,109.8339856
2005,57,1. Male,5. Separated,1. White,4. College Grad,148.4131591
2005,43,1. Male,2. Married,1. White,1. < HS Grad,65.11085372
2009,33,1. Male,2. Married,1. White,3. Some College,88.29869947
2005,40,1. Male,2. Married,1. White,3. Some College,91.69922611
2008,39,1. Male,1. Never Married,1. White,4. College Grad,73.77574327
2004,32,1. Male,2. Married,1. White,5. Advanced Degree,70.47601965
2005,48,1. Male,4. Divorced,1. White,4. College Grad,128.6804882
2004,29,1. Male,2. Married,1. White,5. Advanced Degree,94.07271475
2005,35,1. Male,4. Divorced,1. White,4. College Grad,98.59934386
2004,41,1. Male,2. Married,1. White,2. HS Grad,133.2323508
2009,52,1. Male,2. Married,1. White,2. HS Grad,134.7053751
2005,50,1. Male,2. Married,1. White,2. HS Grad,91.69922611
2004,35,1. Male,2. Married,3. Asian,4. College Grad,160.6354986
2007,27,1. Male,2. Married,1. White,3. Some College,99.6894637
2004,57,1. Male,2. Married,1. White,5. Advanced Degree,114.4757133
2004,48,1. Male,2. Married,1. White,3. Some College,97.49329405
2009,41,1. Male,4. Divorced,2. Black,3. Some College,98.04835051
2005,59,1. Male,2. Married,1. White,5. Advanced Degree,104.9215065
2003,55,1. Male,2. Married,1. White,4. College Grad,109.8339856
2005,54,1. Male,4. Divorced,1. White,2. HS Grad,133.2323508
2003,34,1. Male,2. Married,1. White,5. Advanced Degree,118.8843593
2009,43,1. Male,1. Never Married,1. White,2. HS Grad,73.77574327
2003,43,1. Male,4. Divorced,2. Black,4. College Grad,104.9215065
2003,62,1. Male,3. Widowed,1. White,1. < HS Grad,62.03030461
2006,45,1. Male,1. Never Married,1. White,2. HS Grad,97.49329405
2004,40,1. Male,2. Married,1. White,4. College Grad,145.8051634
2003,33,1. Male,2. Married,1. White,2. HS Grad,82.6796373
2005,45,1. Male,2. Married,1. White,5. Advanced Degree,148.4131591
2009,21,1. Male,1. Never Married,1. White,3. Some College,49.55533812
2009,54,1. Male,2. Married,3. Asian,1. < HS Grad,73.77574327
2003,43,1. Male,2. Married,1. White,4. College Grad,73.77574327
2004,54,1. Male,2. Married,1. White,4. College Grad,127.1157438
2004,35,1. Male,2. Married,1. White,1. < HS Grad,109.8339856
2008,23,1. Male,1. Never Married,1. White,3. Some College,61.59458318
2006,61,1. Male,3. Widowed,1. White,2. HS Grad,111.4404696
2004,51,1. Male,4. Divorced,1. White,4. College Grad,138.2991269
2006,43,1. Male,2. Married,1. White,3. Some College,127.1157438
2003,20,1. Male,1. Never Married,1. White,2. HS Grad,75.35567932
2007,51,1. Male,2. Married,4. Other,3. Some College,139.0034081
2009,65,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2009,37,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2008,24,1. Male,1. Never Married,1. White,2. HS Grad,66.23309573
2003,36,1. Male,2. Married,1. White,2. HS Grad,73.29308207
2005,45,1. Male,2. Married,1. White,3. Some College,130.9821774
2008,33,1. Male,2. Married,1. White,5. Advanced Degree,276.7784133
2009,36,1. Male,4. Divorced,1. White,2. HS Grad,86.91032774
2004,32,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2009,45,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2003,51,1. Male,2. Married,1. White,2. HS Grad,104.9215065
2005,33,1. Male,2. Married,1. White,3. Some College,136.8763676
2003,47,1. Male,4. Divorced,1. White,3. Some College,84.04595765
2003,37,1. Male,2. Married,1. White,5. Advanced Degree,196.1252726
2008,41,1. Male,2. Married,1. White,3. Some College,121.4303138
2005,23,1. Male,1. Never Married,1. White,2. HS Grad,96.3977959
2009,57,1. Male,2. Married,1. White,4. College Grad,128.6804882
2006,61,1. Male,2. Married,1. White,5. Advanced Degree,148.4131591
2007,47,1. Male,4. Divorced,1. White,3. Some College,85.38394038
2003,29,1. Male,2. Married,3. Asian,4. College Grad,87.98103279
2005,37,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2005,57,1. Male,2. Married,1. White,2. HS Grad,148.4131591
2004,39,1. Male,1. Never Married,1. White,5. Advanced Degree,81.28325328
2007,59,1. Male,2. Married,1. White,4. College Grad,145.8051634
2007,31,1. Male,2. Married,1. White,4. College Grad,149.0558956
2009,26,1. Male,1. Never Married,1. White,2. HS Grad,97.49329405
2009,51,1. Male,2. Married,1. White,2. HS Grad,118.0197533
2006,38,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2006,51,1. Male,2. Married,1. White,4. College Grad,118.8843593
2004,50,1. Male,2. Married,1. White,2. HS Grad,79.85490031
2005,32,1. Male,2. Married,1. White,5. Advanced Degree,118.8843593
2007,38,1. Male,2. Married,1. White,4. College Grad,160.6424754
2005,49,1. Male,2. Married,1. White,2. HS Grad,176.9896505
2005,40,1. Male,1. Never Married,1. White,3. Some College,73.77574327
2007,60,1. Male,2. Married,3. Asian,5. Advanced Degree,154.685293
2007,30,1. Male,1. Never Married,1. White,4. College Grad,101.8243521
2003,41,1. Male,2. Married,1. White,4. College Grad,130.9821774
2009,32,1. Male,1. Never Married,1. White,3. Some College,114.4757133
2009,26,1. Male,1. Never Married,1. White,4. College Grad,105.9278108
2004,41,1. Male,2. Married,1. White,3. Some College,81.28325328
2008,53,1. Male,2. Married,1. White,2. HS Grad,134.7053751
2005,35,1. Male,2. Married,1. White,3. Some College,97.49329405
2008,50,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2004,43,1. Male,2. Married,1. White,4. College Grad,171.7651326
2003,50,1. Male,5. Separated,1. White,2. HS Grad,67.82678713
2009,19,1. Male,1. Never Married,2. Black,2. HS Grad,73.77574327
2004,42,1. Male,2. Married,1. White,2. HS Grad,91.69922611
2007,53,1. Male,2. Married,3. Asian,2. HS Grad,66.96164432
2004,22,1. Male,1. Never Married,2. Black,3. Some College,95.23071257
2003,49,1. Male,2. Married,1. White,2. HS Grad,98.59934386
2005,33,1. Male,1. Never Married,1. White,2. HS Grad,109.8339856
2005,31,1. Male,1. Never Married,1. White,2. HS Grad,81.28325328
2004,43,1. Male,2. Married,1. White,1. < HS Grad,90.48191336
2009,57,1. Male,2. Married,1. White,5. Advanced Degree,109.8339856
2005,40,1. Male,2. Married,1. White,5. Advanced Degree,148.4131591
2003,48,1. Male,2. Married,1. White,2. HS Grad,84.52946902
2004,46,1. Male,2. Married,1. White,4. College Grad,101.8243521
2009,58,1. Male,2. Married,1. White,4. College Grad,104.9215065
2003,50,1. Male,2. Married,1. White,1. < HS Grad,104.9215065
2005,38,1. Male,2. Married,1. White,3. Some College,99.6894637
2004,33,1. Male,1. Never Married,1. White,5. Advanced Degree,101.4020523
2007,52,1. Male,2. Married,1. White,3. Some College,149.0558956
2004,48,1. Male,2. Married,1. White,1. < HS Grad,73.77574327
2006,53,1. Male,2. Married,1. White,5. Advanced Degree,160.6424754
2008,37,1. Male,1. Never Married,1. White,3. Some College,118.8843593
2007,43,1. Male,2. Married,1. White,2. HS Grad,119.4052043
2008,54,1. Male,2. Married,1. White,3. Some College,107.9039239
2004,41,1. Male,2. Married,1. White,5. Advanced Degree,154.8683672
2005,57,1. Male,2. Married,1. White,4. College Grad,75.35567932
2007,54,1. Male,2. Married,1. White,5. Advanced Degree,118.5395025
2009,25,1. Male,4. Divorced,1. White,2. HS Grad,76.89360252
2003,35,1. Male,5. Separated,1. White,1. < HS Grad,62.19867943
2008,29,1. Male,2. Married,1. White,3. Some College,182.020621
2009,36,1. Male,2. Married,1. White,2. HS Grad,267.9010869
2005,43,1. Male,2. Married,1. White,4. College Grad,141.7751723
2007,41,1. Male,2. Married,1. White,4. College Grad,186.8766776
2003,52,1. Male,2. Married,1. White,4. College Grad,72.15045568
2005,48,1. Male,2. Married,1. White,2. HS Grad,49.55533812
2003,51,1. Male,2. Married,2. Black,2. HS Grad,81.28325328
2004,55,1. Male,2. Married,1. White,3. Some College,118.8843593
2004,37,1. Male,2. Married,1. White,5. Advanced Degree,97.49329405
2007,48,1. Male,1. Never Married,1. White,3. Some College,111.7208494
2003,42,1. Male,2. Married,1. White,1. < HS Grad,101.8243521
2007,43,1. Male,2. Married,1. White,4. College Grad,127.1157438
2006,32,1. Male,2. Married,1. White,2. HS Grad,87.98103279
2006,33,1. Male,1. Never Married,1. White,4. College Grad,84.04595765
2003,48,1. Male,2. Married,1. White,2. HS Grad,78.3924668
2009,20,1. Male,1. Never Married,2. Black,3. Some College,46.36650274
2005,43,1. Male,2. Married,1. White,2. HS Grad,132.8607653
2003,58,1. Male,4. Divorced,2. Black,2. HS Grad,61.59458318
2004,38,1. Male,2. Married,1. White,3. Some College,99.6894637
2008,23,1. Male,1. Never Married,1. White,2. HS Grad,66.22940829
2009,54,1. Male,4. Divorced,1. White,2. HS Grad,108.8745258
2007,66,1. Male,2. Married,1. White,5. Advanced Degree,99.6894637
2009,47,1. Male,2. Married,1. White,5. Advanced Degree,152.838801
2003,35,1. Male,2. Married,1. White,3. Some College,76.89360252
2008,39,1. Male,2. Married,1. White,2. HS Grad,143.1349408
2005,35,1. Male,1. Never Married,2. Black,3. Some College,125.2042866
2006,40,1. Male,2. Married,1. White,3. Some College,75.61069586
2006,41,1. Male,2. Married,3. Asian,2. HS Grad,109.8339856
2004,40,1. Male,2. Married,1. White,5. Advanced Degree,176.9896505
2006,50,1. Male,2. Married,2. Black,2. HS Grad,59.09706408
2004,35,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2009,43,1. Male,2. Married,1. White,3. Some College,95.23071257
2005,26,1. Male,1. Never Married,1. White,3. Some College,104.9215065
2009,23,1. Male,1. Never Married,1. White,2. HS Grad,49.55533812
2003,61,1. Male,2. Married,1. White,5. Advanced Degree,130.9821774
2004,24,1. Male,1. Never Married,1. White,4. College Grad,43.73511168
2006,66,1. Male,2. Married,2. Black,3. Some College,118.8843593
2006,50,1. Male,3. Widowed,1. White,2. HS Grad,109.8339856
2005,22,1. Male,1. Never Married,1. White,2. HS Grad,75.04315402
2004,62,1. Male,2. Married,2. Black,2. HS Grad,91.69922611
2003,55,1. Male,2. Married,1. White,4. College Grad,105.9278108
2004,41,1. Male,2. Married,1. White,4. College Grad,73.77574327
2005,54,1. Male,2. Married,1. White,4. College Grad,170.1568344
2009,29,1. Male,2. Married,3. Asian,4. College Grad,138.2991269
2004,39,1. Male,2. Married,2. Black,2. HS Grad,101.8243521
2006,71,1. Male,4. Divorced,1. White,4. College Grad,87.98103279
2003,22,1. Male,1. Never Married,1. White,4. College Grad,78.3924668
2007,48,1. Male,2. Married,1. White,4. College Grad,123.0896998
2009,35,1. Male,2. Married,1. White,3. Some College,116.2653241
2003,46,1. Male,2. Married,1. White,4. College Grad,90.48191336
2003,51,1. Male,2. Married,1. White,1. < HS Grad,109.8339856
2005,55,1. Male,2. Married,1. White,2. HS Grad,104.9215065
2005,36,1. Male,2. Married,1. White,2. HS Grad,118.8843593
2008,57,1. Male,2. Married,1. White,2. HS Grad,94.07271475
2005,21,1. Male,2. Married,1. White,2. HS Grad,141.7751723
2006,60,1. Male,2. Married,1. White,5. Advanced Degree,128.6804882
2006,41,1. Male,1. Never Married,2. Black,3. Some College,73.77574327
2004,56,1. Male,2. Married,1. White,4. College Grad,139.3538118
2005,32,1. Male,1. Never Married,1. White,4. College Grad,94.07271475
2003,32,1. Male,2. Married,1. White,2. HS Grad,73.77574327
2006,36,1. Male,4. Divorced,1. White,3. Some College,107.9039239
2006,28,1. Male,1. Never Married,1. White,2. HS Grad,64.54207487
2009,60,1. Male,2. Married,1. White,5. Advanced Degree,138.2991269
2003,41,1. Male,2. Married,1. White,3. Some College,89.24288466
2006,55,1. Male,2. Married,1. White,3. Some College,99.6894637
2003,36,1. Male,2. Married,2. Black,3. Some College,109.8339856
2006,46,1. Male,1. Never Married,2. Black,3. Some College,90.48191336
2008,62,1. Male,2. Married,1. White,2. HS Grad,89.49247952
2006,44,1. Male,2. Married,1. White,2. HS Grad,102.7662809
2006,36,1. Male,2. Married,1. White,4. College Grad,118.8843593
2004,41,1. Male,2. Married,1. White,2. HS Grad,148.4131591
2006,22,1. Male,1. Never Married,1. White,4. College Grad,114.4757133
2008,51,1. Male,2. Married,1. White,5. Advanced Degree,129.9836348
2008,57,1. Male,2. Married,1. White,1. < HS Grad,110.7826503
2005,55,1. Male,2. Married,1. White,2. HS Grad,114.4757133
2003,36,1. Male,2. Married,1. White,4. College Grad,148.4131591
2008,43,1. Male,2. Married,1. White,5. Advanced Degree,276.7784133
2003,38,1. Male,2. Married,1. White,3. Some College,23.95294448
2006,27,1. Male,1. Never Married,1. White,3. Some College,103.9024706
2007,32,1. Male,2. Married,1. White,3. Some College,118.8843593
2009,44,1. Male,1. Never Married,1. White,1. < HS Grad,71.68674367
2008,56,1. Male,2. Married,3. Asian,4. College Grad,276.7784133
2007,38,1. Male,2. Married,2. Black,4. College Grad,141.7751723
2003,36,1. Male,2. Married,1. White,1. < HS Grad,99.6894637
2005,28,1. Male,1. Never Married,1. White,3. Some College,108.8745258
2005,39,1. Male,2. Married,1. White,2. HS Grad,79.85490031
2008,42,1. Male,1. Never Married,2. Black,2. HS Grad,78.98460618
2009,51,1. Male,2. Married,1. White,1. < HS Grad,82.6796373
2004,55,1. Male,2. Married,2. Black,2. HS Grad,89.49247952
2007,39,1. Male,1. Never Married,1. White,5. Advanced Degree,130.9821774
2003,42,1. Male,2. Married,1. White,1. < HS Grad,109.7060518
2006,33,1. Male,2. Married,2. Black,5. Advanced Degree,117.1468169
2008,23,1. Male,1. Never Married,1. White,2. HS Grad,73.77574327
2003,40,1. Male,2. Married,1. White,4. College Grad,81.28325328
2003,40,1. Male,2. Married,1. White,3. Some College,80.85819596
2009,51,1. Male,2. Married,3. Asian,3. Some College,107.9039239
2007,76,1. Male,2. Married,3. Asian,4. College Grad,76.89360252
2007,57,1. Male,4. Divorced,1. White,5. Advanced Degree,87.98103279
2003,27,1. Male,5. Separated,1. White,3. Some College,95.23071257
2005,26,1. Male,1. Never Married,2. Black,2. HS Grad,84.04595765
2005,25,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2005,27,1. Male,2. Married,1. White,3. Some College,101.4020523
2004,33,1. Male,1. Never Married,1. White,3. Some College,87.98103279
2003,51,1. Male,4. Divorced,1. White,1. < HS Grad,87.98103279
2005,22,1. Male,1. Never Married,1. White,4. College Grad,94.07271475
2005,47,1. Male,2. Married,1. White,2. HS Grad,128.1996369
2009,34,1. Male,1. Never Married,1. White,3. Some College,136.5176552
2008,47,1. Male,4. Divorced,1. White,3. Some College,107.9039239
2005,31,1. Male,1. Never Married,1. White,3. Some College,123.0896998
2005,46,1. Male,2. Married,1. White,2. HS Grad,91.69922611
2006,47,1. Male,2. Married,1. White,2. HS Grad,78.3924668
2006,49,1. Male,2. Married,1. White,4. College Grad,154.685293
2003,40,1. Male,2. Married,2. Black,4. College Grad,136.1577108
2004,51,1. Male,2. Married,1. White,1. < HS Grad,81.28325328
2008,31,1. Male,2. Married,1. White,3. Some College,76.28327785
2003,58,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2005,48,1. Male,2. Married,2. Black,3. Some College,87.78843622
2004,54,1. Male,4. Divorced,2. Black,4. College Grad,127.1157438
2007,56,1. Male,1. Never Married,1. White,5. Advanced Degree,154.0729972
2007,61,1. Male,2. Married,1. White,2. HS Grad,109.8339856
2009,32,1. Male,2. Married,3. Asian,5. Advanced Degree,138.2991269
2007,60,1. Male,2. Married,1. White,4. College Grad,164.6469889
2006,42,1. Male,2. Married,1. White,3. Some College,138.2991269
2003,22,1. Male,1. Never Married,3. Asian,3. Some College,44.97829203
2003,46,1. Male,2. Married,1. White,3. Some College,106.7239776
2005,53,1. Male,2. Married,1. White,1. < HS Grad,114.4757133
2008,43,1. Male,4. Divorced,1. White,4. College Grad,73.77574327
2009,32,1. Male,1. Never Married,1. White,2. HS Grad,75.35567932
2009,30,1. Male,2. Married,1. White,4. College Grad,141.7751723
2009,50,1. Male,1. Never Married,2. Black,5. Advanced Degree,109.8339856
2006,40,1. Male,2. Married,1. White,5. Advanced Degree,277.7994802
2009,55,1. Male,2. Married,1. White,1. < HS Grad,79.85490031
2004,42,1. Male,2. Married,1. White,4. College Grad,166.3249412
2004,35,1. Male,1. Never Married,1. White,2. HS Grad,75.35567932
2004,33,1. Male,2. Married,1. White,4. College Grad,100.0867423
2004,33,1. Male,2. Married,1. White,3. Some College,102.8702469
2003,38,1. Male,2. Married,1. White,2. HS Grad,118.7120941
2009,41,1. Male,2. Married,1. White,2. HS Grad,117.1468169
2009,42,1. Male,2. Married,1. White,5. Advanced Degree,123.5000178
2009,58,1. Male,2. Married,1. White,4. College Grad,148.4131591
2009,45,1. Male,2. Married,1. White,2. HS Grad,76.89360252
2009,47,1. Male,1. Never Married,1. White,2. HS Grad,109.8339856
2005,30,1. Male,2. Married,1. White,2. HS Grad,105.9278108
2009,34,1. Male,2. Married,1. White,4. College Grad,160.6424754
2006,43,1. Male,2. Married,1. White,5. Advanced Degree,149.6950421
2008,58,1. Male,5. Separated,1. White,1. < HS Grad,99.6894637
2009,44,1. Male,2. Married,2. Black,3. Some College,104.9235317
2005,28,1. Male,2. Married,1. White,1. < HS Grad,61.18752643
2004,46,1. Male,2. Married,1. White,3. Some College,105.9278108
2008,36,1. Male,2. Married,1. White,3. Some College,107.9039239
2007,37,1. Male,2. Married,2. Black,2. HS Grad,70.81503862
2008,47,1. Male,2. Married,1. White,4. College Grad,160.6424754
2007,56,1. Male,4. Divorced,1. White,3. Some College,99.6894637
2009,38,1. Male,2. Married,1. White,3. Some College,111.7208494
2007,41,1. Male,1. Never Married,2. Black,1. < HS Grad,75.35567932
2004,62,1. Male,2. Married,1. White,3. Some College,94.07271475
2004,40,1. Male,2. Married,1. White,3. Some College,87.98103279
2004,44,1. Male,2. Married,3. Asian,5. Advanced Degree,123.0896998
2007,56,1. Male,2. Married,1. White,4. College Grad,99.6894637
2008,51,1. Male,2. Married,2. Black,3. Some College,76.89360252
2005,41,1. Male,2. Married,1. White,3. Some College,86.69515483
2005,52,1. Male,2. Married,1. White,5. Advanced Degree,176.9896505
2008,27,1. Male,2. Married,1. White,3. Some College,100.7642728
2004,52,1. Male,2. Married,1. White,4. College Grad,114.4757133
2005,51,1. Male,4. Divorced,1. White,2. HS Grad,67.17929148
2009,51,1. Male,2. Married,1. White,2. HS Grad,79.85490031
2005,28,1. Male,1. Never Married,1. White,4. College Grad,90.48191336
2007,49,1. Male,1. Never Married,1. White,2. HS Grad,57.97094218
2007,61,1. Male,2. Married,1. White,1. < HS Grad,114.4757133
2006,39,1. Male,2. Married,1. White,2. HS Grad,99.6894637
2005,23,1. Male,1. Never Married,1. White,1. < HS Grad,89.49247952
2007,53,1. Male,2. Married,1. White,5. Advanced Degree,151.8050963
2004,55,1. Male,1. Never Married,3. Asian,3. Some College,87.98103279
2005,48,1. Male,1. Never Married,2. Black,2. HS Grad,87.98103279
2007,50,1. Male,2. Married,1. White,4. College Grad,104.9215065
2009,31,1. Male,1. Never Married,1. White,1. < HS Grad,65.11085372
2007,53,1. Male,2. Married,1. White,2. HS Grad,128.6804882
2008,49,1. Male,2. Married,1. White,4. College Grad,154.685293
2003,49,1. Male,1. Never Married,1. White,4. College Grad,130.9821774
2004,43,1. Male,2. Married,1. White,2. HS Grad,120.5894365
2007,20,1. Male,1. Never Married,1. White,2. HS Grad,81.28325328
2008,46,1. Male,4. Divorced,1. White,2. HS Grad,110.1729303
2005,48,1. Male,2. Married,1. White,4. College Grad,152.2168068
2005,19,1. Male,1. Never Married,1. White,2. HS Grad,70.47601965
2004,56,1. Male,4. Divorced,1. White,4. College Grad,85.38394038
2003,44,1. Male,2. Married,1. White,3. Some College,101.8243521
2009,23,1. Male,1. Never Married,1. White,2. HS Grad,85.38394038
2005,42,1. Male,1. Never Married,1. White,4. College Grad,101.8243521
2008,32,1. Male,2. Married,1. White,5. Advanced Degree,118.8843593
2003,32,1. Male,1. Never Married,1. White,2. HS Grad,73.77574327
2003,43,1. Male,2. Married,1. White,2. HS Grad,73.77574327
2008,57,1. Male,1. Never Married,2. Black,4. College Grad,138.610994
2008,26,1. Male,2. Married,2. Black,3. Some College,109.8339856
2009,67,1. Male,4. Divorced,1. White,3. Some College,151.5914842
2004,31,1. Male,2. Married,1. White,5. Advanced Degree,176.9896505
2006,49,1. Male,4. Divorced,1. White,3. Some College,103.9024706
2005,29,1. Male,1. Never Married,1. White,4. College Grad,128.6804882
2008,41,1. Male,2. Married,1. White,3. Some College,108.8745258
2006,35,1. Male,2. Married,1. White,2. HS Grad,87.98103279
2009,39,1. Male,2. Married,1. White,2. HS Grad,95.23071257
